source,stat_id,period,region,region_full,item,value,unit
rone,A_2024_00188,202501,전남,전남,가격,253.207385374572,만원/㎡
rone,A_2024_00188,202501,경북,경북,가격,249.029028610607,만원/㎡
rone,A_2024_00188,202501,경남,경남,가격,318.113850424679,만원/㎡
rone,A_2024_00188,202501,제주,제주,가격,449.386248708646,만원/㎡
rone,A_2024_00189,202501,도심권,서울>도심권,가격,1768.45083706673,만원/㎡
rone,A_2024_00189,202501,전국,전국,가격,423.728813559322,만원/㎡
rone,A_2024_00189,202501,수도권,수도권,가격,734.204121799575,만원/㎡
rone,A_2024_00189,202501,동북권,서울>동북권,가격,1084.01205912811,만원/㎡
rone,A_2024_00189,202501,지방,지방,가격,307.045868314034,만원/㎡
rone,A_2024_00189,202501,동남권,서울>동남권,가격,2212.36327594955,만원/㎡
rone,A_2024_00189,202501,서울,서울,가격,1408.38078687024,만원/㎡
rone,A_2024_00189,202501,서북권,서울>서북권,가격,1376.74004281859,만원/㎡
rone,A_2024_00189,202501,부산,부산,가격,443.440082369716,만원/㎡
rone,A_2024_00189,202501,서남권,서울>서남권,가격,1249.84308288043,만원/㎡
rone,A_2024_00189,202501,대구,대구,가격,385.884168866677,만원/㎡
rone,A_2024_00189,202501,인천,인천,가격,446.703585093705,만원/㎡
rone,A_2024_00189,202501,광주,광주,가격,346.372432059172,만원/㎡
rone,A_2024_00189,202501,대전,대전,가격,413.770274743462,만원/㎡
rone,A_2024_00189,202501,울산,울산,가격,382.419077181583,만원/㎡
rone,A_2024_00189,202501,세종,세종,가격,631.293581126164,만원/㎡
rone,A_2024_00189,202501,경기,경기,가격,611.852164760985,만원/㎡
rone,A_2024_00189,202501,강원,강원,가격,270.64268223372,만원/㎡
rone,A_2024_00189,202501,충북,충북,가격,254.137434444094,만원/㎡
rone,A_2024_00189,202501,충남,충남,가격,254.603702305678,만원/㎡
rone,A_2024_00189,202501,전북,전북,가격,250.020836806134,만원/㎡
rone,A_2024_00189,202501,전남,전남,가격,223.86547334587,만원/㎡
rone,A_2024_00189,202501,경북,경북,가격,233.88544776045,만원/㎡
rone,A_2024_00189,202501,경남,경남,가격,288.708998682639,만원/㎡
rone,A_2024_00189,202501,제주,제주,가격,415.129957525651,만원/㎡
