source,apt_name,area,floor,price,deal_date,built_year,dong
molit,푸르지오3차,71.55,22,58300,2025-01-10,2003,고잔동
molit,초지역메이저타운푸르지오파크단지,72.7925,12,69800,2025-01-16,2019,초지동
molit,주공그린빌13단지,51.89,11,29000,2025-01-04,2002,초지동
molit,서해그랑블,71.939,4,39800,2025-01-17,2004,초지동
molit,초지역메이저타운푸르지오에코단지,59.9932,34,61000,2025-01-20,2019,원곡동
molit,주공5,46.74,3,49000,2025-01-16,1986,고잔동
molit,서해그랑블,100.994,4,48000,2025-01-20,2004,초지동
molit,군자주공11,39.66,3,23000,2025-01-06,1990,선부동
molit,서해그랑블,71.939,5,40800,2025-01-03,2004,초지동
molit,주공그린빌13단지,51.89,11,30500,2025-01-04,2002,초지동
molit,롯데캐슬더퍼스트,59.98,27,49800,2025-01-17,2018,초지동
molit,고잔롯데캐슬골드파크,59.97,26,52000,2025-01-08,2018,고잔동
molit,군자주공15(저층),46.99,4,23800,2025-01-03,1992,선부동
molit,경남아너스빌,59.99,21,37000,2025-01-10,2005,원곡동
molit,안산라프리모,84.9673,17,63000,2025-01-09,2020,선부동
molit,경남아너스빌,59.99,13,35600,2025-01-07,2005,원곡동
molit,푸르지오1차,146.8944,2,75000,2025-01-15,2001,고잔동
molit,산호한양,42.615,3,16000,2025-01-18,1993,선부동
molit,두산위브,84.98,21,65500,2025-01-16,2015,초지동
molit,고잔롯데캐슬골드파크,49.74,11,46500,2025-01-16,2018,고잔동
molit,주공8,66.56,15,29500,2025-01-08,1987,고잔동
molit,동명벽산블루밍,59.98,5,43000,2025-01-14,2010,선부동
molit,안산라프리모,74.8727,28,54000,2025-01-08,2020,선부동
molit,양지마을,101.913,4,42000,2025-01-13,2001,고잔동
molit,주공그린빌8,75.82,2,45800,2025-01-07,2001,고잔동
molit,주공(9단지),66.56,14,36500,2025-01-11,1986,고잔동
molit,수정한양,84.975,4,36900,2025-01-09,1991,선부동
molit,안산메트로타운푸르지오힐스테이트,59.9683,29,42000,2025-01-15,2018,선부동
molit,초지역메이저타운푸르지오메트로단지,48.3659,3,49300,2025-01-15,2019,초지동
molit,초지역메이저타운푸르지오파크단지,84.8438,5,76500,2025-01-03,2019,초지동
molit,대우푸르지오5,72.298,14,53000,2025-01-14,2003,고잔동
molit,주공그린빌13단지,51.89,5,28200,2025-01-09,2002,초지동
molit,주공그린빌12,75.99,2,42500,2025-01-13,2003,초지동
molit,그린빌15(해맑음마을),59.97,5,33000,2025-01-02,2002,초지동
molit,주공(9단지),64.62,11,36500,2025-01-11,1986,고잔동
molit,주공그린빌12,75.99,9,41500,2025-01-08,2003,초지동
molit,삼익,59.59,2,24200,2025-01-13,1998,신길동
molit,주공그린빌13단지,39.89,4,20500,2025-01-09,2002,초지동
molit,주공7,61.52,15,31000,2025-01-08,1987,고잔동
molit,고잔롯데캐슬골드파크,84.96,22,70500,2025-01-11,2018,고잔동
molit,호수공원(대림1),134.878,9,100000,2025-01-07,2001,고잔동
molit,호수공원(대림1),87.152,6,60000,2025-01-03,2001,고잔동
molit,군자주공14,39.61,4,19000,2025-01-11,1992,선부동
molit,주공그린빌13단지,51.89,6,29500,2025-01-11,2002,초지동
molit,군자주공14,46.99,4,24500,2025-01-02,1992,선부동
molit,안산라프리모,84.9673,29,63000,2025-01-03,2020,선부동
molit,산호한양,29.2725,1,11500,2025-01-04,1993,선부동
molit,주공8,61.52,1,24500,2025-01-02,1987,고잔동
molit,주공(9단지),66.56,3,31000,2025-01-11,1986,고잔동
molit,e편한세상선부파크플레이스2차,84.98,9,59300,2025-01-07,2018,선부동
molit,고잔롯데캐슬골드파크,84.96,17,71500,2025-01-03,2018,고잔동
molit,그린빌18,49.86,5,26500,2025-01-04,2001,초지동
molit,서해그랑블,71.939,8,37500,2025-01-06,2004,초지동
molit,휴먼시아6단지,84.91,12,38000,2025-01-08,2009,신길동
molit,주공그린빌8,75.77,5,44000,2025-01-06,2001,고잔동
molit,초지역메이저타운푸르지오파크단지,59.863,16,59300,2025-01-03,2019,초지동
molit,양지마을,84.838,5,53000,2025-01-06,2001,고잔동
molit,안산메트로타운푸르지오힐스테이트,84.508,14,50000,2025-01-05,2018,선부동
molit,이편한세상선부역어반스퀘어,59.93,2,46800,2025-01-02,2020,선부동
molit,주공5,47.1,4,40000,2025-01-03,1986,고잔동
molit,안산레이크타운푸르지오,84.6038,19,88500,2025-01-03,2016,고잔동
molit,안산메트로타운푸르지오힐스테이트,59.8227,25,42000,2025-01-02,2018,선부동
